Time (ps),RMSD (nm)
0.0, 0.0004986
10.0, 0.0620434
20.0, 0.0941437
30.0, 0.1060504
40.0, 0.0879219
50.0, 0.0968523
60.0, 0.1031933
70.0, 0.0942173
80.0, 0.093499
90.0, 0.0889308
100.0, 0.0736437
110.0, 0.0861783
120.0, 0.0840891
130.0, 0.087854
140.0, 0.0851123
150.0, 0.0866889
160.0, 0.0776606
170.0, 0.0900527
180.0, 0.1103652
190.0, 0.113269
200.0, 0.0927341
210.0, 0.1016937
220.0, 0.0783457
230.0, 0.0790283
240.0, 0.0889067
250.0, 0.0906761
260.0, 0.0860507
270.0, 0.0848598
280.0, 0.1173787
290.0, 0.1148025
300.0, 0.1041909
310.0, 0.0957702
320.0, 0.0936433
330.0, 0.0881434
340.0, 0.0952398
350.0, 0.1001329
360.0, 0.1116666
370.0, 0.1287123
380.0, 0.1355982
390.0, 0.1323223
400.0, 0.115903
410.0, 0.127304
420.0, 0.107708
430.0, 0.0953303
440.0, 0.0952942
450.0, 0.1226757
460.0, 0.1112926
470.0, 0.1233255
480.0, 0.1248682
490.0, 0.1458307
500.0, 0.1492735
510.0, 0.1345664
520.0, 0.1351436
530.0, 0.1404715
540.0, 0.1417093
550.0, 0.1452293
560.0, 0.1635346
570.0, 0.1819964
580.0, 0.1932524
590.0, 0.1551123
600.0, 0.1530382
610.0, 0.1329946
620.0, 0.1455069
630.0, 0.1305689
640.0, 0.1302127
650.0, 0.1433621
660.0, 0.1529808
670.0, 0.1582752
680.0, 0.1657622
690.0, 0.1516491
700.0, 0.1662028
710.0, 0.1999567
720.0, 0.1967314
730.0, 0.1723696
740.0, 0.1847187
750.0, 0.1802438
760.0, 0.1689834
770.0, 0.1338517
780.0, 0.1373653
790.0, 0.1441021
800.0, 0.1689405
810.0, 0.1761649
820.0, 0.1942375
830.0, 0.1729379
840.0, 0.1706084
850.0, 0.1755844
860.0, 0.1515693
870.0, 0.1373321
880.0, 0.1443179
890.0, 0.1463647
900.0, 0.1493397
910.0, 0.1572932
920.0, 0.1246229
930.0, 0.1209979
940.0, 0.1079917
950.0, 0.1194185
960.0, 0.116823
970.0, 0.1212414
980.0, 0.1194313
990.0, 0.1366254
1000.0, 0.1326912
1010.0, 0.1461848
1020.0, 0.1495808
1030.0, 0.1371794
1040.0, 0.1360642
1050.0, 0.1260928
1060.0, 0.1449323
1070.0, 0.1490265
1080.0, 0.1428648
1090.0, 0.1352043
1100.0, 0.1381253
1110.0, 0.1335528
1120.0, 0.1365714
1130.0, 0.134656
1140.0, 0.1425649
1150.0, 0.1646575
1160.0, 0.1440847
1170.0, 0.1584302
1180.0, 0.1657426
1190.0, 0.1683409
1200.0, 0.145413
1210.0, 0.1365347
1220.0, 0.1513593
1230.0, 0.1449755
1240.0, 0.1526385
1250.0, 0.1584583
1260.0, 0.1732982
1270.0, 0.1813463
1280.0, 0.1986293
1290.0, 0.2294658
1300.0, 0.2122194
1310.0, 0.2010217
1320.0, 0.1976011
1330.0, 0.1873156
1340.0, 0.1862282
1350.0, 0.17072
1360.0, 0.1939991
1370.0, 0.2121548
1380.0, 0.1994814
1390.0, 0.2007648
1400.0, 0.1809222
1410.0, 0.1955263
1420.0, 0.2200721
1430.0, 0.1988813
1440.0, 0.2557415
1450.0, 0.2453331
1460.0, 0.233247
1470.0, 0.2392765
1480.0, 0.2503301
1490.0, 0.2375786
1500.0, 0.2214704
1510.0, 0.2691914
1520.0, 0.2850198
1530.0, 0.273825
1540.0, 0.2485931
1550.0, 0.2350004
1560.0, 0.2281821
1570.0, 0.2113191
